group,count,percent_all_counties_density,contested_projects,percent_rejections
0-50,1693,0.5254500310,128,0.34972677595628415
50-100, 557,0.1728739913,62,0.16939890710382513
100-150, 220,0.0682805711,49,0.13387978142076504
150-200, 127,0.0394165115,17,0.04644808743169399
200-250,  70,0.0217256363,11,0.030054644808743168
250-300,  67,0.0207945376,20,0.0546448087431694
300-350,  49,0.0152079454,13,0.03551912568306011
350-400,  39,0.0121042831,10,0.0273224043715847
400-450,  43,0.0133457480,7,0.01912568306010929
450-500,  25,0.0077591558,4,0.01092896174863388
500-550,  25,0.0077591558,4,0.01092896174863388
550-600,  24,0.0074487896,8,0.02185792349726776
600-650,  21,0.0065176909,2,0.00546448087431694
650-700,  11,0.0034140286,NA,NA
700-750,  10,0.0031036623,NA,NA
750-800,  17,0.0052762259,4,0.01092896174863388
800-850,  16,0.0049658597,5,0.01366120218579235
850-900,   8,0.0024829299,1,0.00273224043715847
900-950,   9,0.0027932961,NA,NA
950-1000,   8,0.0024829299,NA,NA
1000-1050,   9,0.0027932961,2,0.00546448087431694
1050-1100,  10,0.0031036623,NA,NA
1100-1150,  10,0.0031036623,1,0.00273224043715847
1150-1200,   8,0.0024829299,NA,NA
1200-1250,   5,0.0015518312,NA,NA
1250-1300,   7,0.0021725636,NA,NA
1300-1350,   5,0.0015518312,NA,NA
1350-1400,   4,0.0012414649,NA,NA
1400-1450,   8,0.0024829299,NA,NA
1450-1500,   6,0.0018621974,NA,NA
1500-1550,   2,0.0006207325,NA,NA
1550-1600,   3,0.0009310987,NA,NA
1600-1650,   8,0.0024829299,4,0.01092896174863388
1650-1700,   4,0.0012414649,2,0.00546448087431694
1700-1750,   4,0.0012414649,NA,NA
1750-1800,   2,0.0006207325,NA,NA
1800-1850,   2,0.0006207325,NA,NA
1850-1900,   2,0.0006207325,1,0.00273224043715847
1900-1950,   1,0.0003103662,NA,NA
1950-2000,   3,0.0009310987,2,0.00546448087431694
2000-2050,   3,0.0009310987,NA,NA
2050-2100,   2,0.0006207325,NA,NA
2100-2150,   2,0.0006207325,NA,NA
2150-2200,   1,0.0003103662,NA,NA
2200-2250,   4,0.0012414649,NA,NA
2250-2300,   3,0.0009310987,6,0.01639344262295082
2300-2350,   3,0.0009310987,1,0.00273224043715847
2350-2400,   1,0.0003103662,NA,NA
2400-2450,   3,0.0009310987,NA,NA
2450-2500,   3,0.0009310987,NA,NA
2650-2700,   2,0.0006207325,NA,NA
2700-2750,   2,0.0006207325,1,0.00273224043715847
2750-2800,   3,0.0009310987,NA,NA
2800-2850,   2,0.0006207325,NA,NA
2900-2950,   4,0.0012414649,NA,NA
2950-3000,   2,0.0006207325,NA,NA
3050-3100,   1,0.0003103662,NA,NA
3100-3150,   1,0.0003103662,NA,NA
3200-3250,   2,0.0006207325,NA,NA
3250-3300,   1,0.0003103662,NA,NA
3350-3400,   1,0.0003103662,NA,NA
3500-3550,   1,0.0003103662,NA,NA
3550-3600,   1,0.0003103662,NA,NA
3750-3800,   1,0.0003103662,NA,NA
3850-3900,   2,0.0006207325,NA,NA
4000-4050,   1,0.0003103662,NA,NA
4050-4100,   1,0.0003103662,NA,NA
4100-4150,   1,0.0003103662,NA,NA
4300-4350,   1,0.0003103662,NA,NA
4400-4450,   1,0.0003103662,NA,NA
4500-4550,   1,0.0003103662,NA,NA
4600-4650,   1,0.0003103662,NA,NA
4750-4800,   1,0.0003103662,NA,NA
4800-4850,   1,0.0003103662,NA,NA
4850-4900,   1,0.0003103662,NA,NA
5500-5550,   1,0.0003103662,NA,NA
5550-5600,   1,0.0003103662,NA,NA
5600-5650,   1,0.0003103662,NA,NA
6750-6800,   1,0.0003103662,NA,NA
7100-7150,   2,0.0006207325,NA,NA
7200-7250,   1,0.0003103662,NA,NA
8550-8600,   1,0.0003103662,1,0.00273224043715847
9050-9100,   1,0.0003103662,NA,NA
10550-10600,   1,0.0003103662,NA,NA
10950-11000,   1,0.0003103662,NA,NA
11850-11900,   1,0.0003103662,NA,NA
13450-13500,   1,0.0003103662,NA,NA
15400-15450,   1,0.0003103662,NA,NA
18200-18250,   1,0.0003103662,NA,NA
21700-21750,   1,0.0003103662,NA,NA
34200-34250,   1,0.0003103662,NA,NA
38600-38650,   1,0.0003103662,NA,NA
72600-72650,   1,0.0003103662,NA,NA
